year,month,day,hour,총생활인구수
2017,1,15,1,48344.068
2017,1,15,2,48382.8773
2017,1,15,3,48531.6801
2017,1,15,4,48903.7631
2017,1,15,5,48852.7093
2017,1,15,6,49158.8372
2017,1,15,7,48991.1579
2017,1,15,8,49226.0339
2017,1,15,9,49386.4319
2017,1,15,10,49224.5359
2017,1,15,11,48220.8442
2017,1,15,12,47699.4913
2017,1,15,13,46686.3256
2017,1,15,14,46583.8404
2017,1,15,15,46033.2406
2017,1,15,16,45792.975
2017,1,15,17,45673.4385
2017,1,15,18,46544.2201
2017,1,15,19,47228.7083
2017,1,15,20,47995.8296
2017,1,15,21,48855.1814
2017,1,15,22,49044.0452
2017,1,15,23,49054.2954
2017,1,16,0,49456.6294
2017,1,16,1,49479.4266
2017,1,16,2,49353.0137
2017,1,16,3,49545.7792
2017,1,16,4,49771.8941
2017,1,16,5,49895.0108
2017,1,16,6,49913.0474
2017,1,16,7,50005.8624
2017,1,16,8,47367.3111
2017,1,16,9,45810.6576
2017,1,16,10,45257.6753
2017,1,16,11,43978.5027
2017,1,16,12,44078.5769
2017,1,16,13,43716.5758
2017,1,16,14,42921.8453
2017,1,16,15,42148.0571
2017,1,16,16,42259.6704
2017,1,16,17,42586.4402
2017,1,16,18,42811.5214
2017,1,16,19,43732.7578
2017,1,16,20,45420.4288
2017,1,16,21,46345.7633
2017,1,16,22,48222.7328
2017,1,16,23,48457.8356
2017,1,17,0,48891.3083
2017,1,17,1,49011.4144
2017,1,17,2,49203.763
2017,1,17,3,49458.1467
2017,1,17,4,49788.0857
2017,1,17,5,49818.5892
2017,1,17,6,50279.9962
2017,1,17,7,50288.9929
2017,1,17,8,47747.4014
2017,1,17,9,46608.954
2017,1,17,10,45911.9635
2017,1,17,11,44739.7738
2017,1,17,12,44539.4013
2017,1,17,13,43777.8943
2017,1,17,14,43182.8207
2017,1,17,15,42998.0212
2017,1,17,16,43145.3782
2017,1,17,17,42743.6364
2017,1,17,18,43602.3773
2017,1,17,19,44217.8911
2017,1,17,20,45520.96
2017,1,17,21,46727.3244
2017,1,17,22,48017.4339
2017,1,17,23,48311.5117
2017,1,18,0,48673.0793
2017,1,18,1,48795.25
2017,1,18,2,49086.9065
2017,1,18,3,49021.9699
2017,1,18,4,49210.9543
2017,1,18,5,48804.1991
2017,1,18,6,49388.3027
2017,1,18,7,49476.1402
2017,1,18,8,46871.8603
2017,1,18,9,45903.9497
2017,1,18,10,44910.6077
2017,1,18,11,44176.3204
2017,1,18,12,43874.571
2017,1,18,13,42445.5058
2017,1,18,14,42042.9897
2017,1,18,15,41629.8581
2017,1,18,16,41994.9604
2017,1,18,17,42384.8139
2017,1,18,18,43014.1269
2017,1,18,19,44357.2676
2017,1,18,20,45587.8672
2017,1,18,21,46481.8617
2017,1,18,22,47694.9096
2017,1,18,23,48225.3069
2017,1,19,0,48480.0756
2017,1,19,1,48691.2718
2017,1,19,2,48836.7618
2017,1,19,3,48999.7458
2017,1,19,4,49434.1657
2017,1,19,5,49058.8222
2017,1,19,6,49041.0716
2017,1,19,7,49120.2223
2017,1,19,8,46522.1672
2017,1,19,9,45666.1854
2017,1,19,10,44559.3574
2017,1,19,11,43419.3497
2017,1,19,12,43068.351
2017,1,19,13,43279.8279
2017,1,19,14,42736.6068
2017,1,19,15,41257.8396
2017,1,19,16,41583.1412
2017,1,19,17,42264.0334
2017,1,19,18,42877.305
2017,1,19,19,44110.8273
2017,1,19,20,44965.9314
2017,1,19,21,46654.4289
2017,1,19,22,47896.9044
2017,1,19,23,47576.4816
2017,1,20,0,48312.5225
2017,1,20,1,48449.6203
2017,1,20,2,48494.9168
2017,1,20,3,48803.7467
2017,1,20,4,48721.7953
2017,1,20,5,48783.0367
2017,1,20,6,49133.5683
2017,1,20,7,48955.2292
2017,1,20,8,46649.3656
2017,1,20,9,45308.3009
2017,1,20,10,45045.8825
2017,1,20,11,44212.1021
2017,1,20,12,43981.7058
2017,1,20,13,43977.5821
2017,1,20,14,43642.6928
2017,1,20,15,43798.0748
2017,1,20,16,43881.1966
2017,1,20,17,43778.3816
2017,1,20,18,43930.6627
2017,1,20,19,44666.5593
2017,1,20,20,45886.5308
2017,1,20,21,46422.422
2017,1,20,22,48037.0177
2017,1,20,23,47276.5923
2017,1,21,0,48298.8012
2017,1,21,1,48264.4606
2017,1,21,2,48415.9226
2017,1,21,3,48757.6532
2017,1,21,4,48705.7127
2017,1,21,5,48731.8154
2017,1,21,6,48812.5992
2017,1,21,7,48704.0548
2017,1,21,8,48558.9936
2017,1,21,9,48520.0685
2017,1,21,10,48208.1644
2017,1,21,11,47401.6048
2017,1,21,12,45968.3497
2017,1,21,13,45599.3081
2017,1,21,14,45121.413
2017,1,21,15,45424.639
2017,1,21,16,44673.7013
2017,1,21,17,44298.5458
2017,1,21,18,44536.8409
2017,1,21,19,45127.1746
2017,1,21,20,45287.6697
2017,1,21,21,46492.7081
2017,1,21,22,46792.777
2017,1,21,23,46495.4494
2017,1,22,0,47399.0967
2017,1,22,1,47231.4592
2017,1,22,2,47422.7713
2017,1,22,3,47489.3674
2017,1,22,4,47749.102
2017,1,22,5,48093.796
2017,1,22,6,47772.0521
2017,1,22,7,47972.4923
2017,1,22,8,48140.3608
2017,1,22,9,47667.6502
2017,1,22,10,47722.4696
2017,1,22,11,47238.7522
2017,1,22,12,47144.8102
2017,1,22,13,47180.3058
2017,1,22,14,45812.1857
2017,1,22,15,45499.5993
2017,1,22,16,45387.4699
2017,1,22,17,45650.373
2017,1,22,18,45522.7508
2017,1,22,19,46677.0873
2017,1,22,20,47545.8988
2017,1,22,21,48379.4192
2017,1,22,22,48877.1944
2017,1,22,23,48465.7117
2017,1,23,0,49053.9668
2017,1,23,1,49100.7727
2017,1,23,2,48964.2208
2017,1,23,3,49102.7285
2017,1,23,4,48923.8087
2017,1,23,5,49139.3509
2017,1,23,6,49425.9665
2017,1,23,7,49349.5627
2017,1,23,8,47162.1729
2017,1,23,9,46379.6979
2017,1,23,10,45445.3043
2017,1,23,11,44799.6116
2017,1,23,12,44552.5988
2017,1,23,13,43982.0794
2017,1,23,14,43719.2862
2017,1,23,15,43088.098
2017,1,23,16,44369.5503
2017,1,23,17,43473.0956
2017,1,23,18,44346.2323
2017,1,23,19,44777.8836
2017,1,23,20,46138.225
2017,1,23,21,47046.2191
2017,1,23,22,48450.4466
2017,1,23,23,48670.0087
2017,1,24,0,48850.1513
2017,1,24,1,48891.8935
2017,1,24,2,49177.4859
2017,1,24,3,49317.3734
2017,1,24,4,48129.1089
2017,1,24,5,48413.7007
2017,1,24,6,48408.8817
2017,1,24,7,48932.9364
2017,1,24,8,46878.4189
2017,1,24,9,45521.9164
2017,1,24,10,44944.2065
2017,1,24,11,44160.0298
2017,1,24,12,44447.8258
2017,1,24,13,43655.9545
2017,1,24,14,43315.1699
2017,1,24,15,43233.7746
2017,1,24,16,44059.4586
2017,1,24,17,43667.0052
2017,1,24,18,43751.0818
2017,1,24,19,44587.6312
2017,1,24,20,45669.4527
2017,1,24,21,47181.61
2017,1,24,22,48132.1237
2017,1,24,23,47397.145
2017,1,25,0,48283.8086
2017,1,25,1,48164.0655
2017,1,25,2,48437.6334
2017,1,25,3,48560.4958
2017,1,25,4,49052.4022
2017,1,25,5,49196.6232
2017,1,25,6,49729.7222
2017,1,25,7,49373.5582
2017,1,25,8,47305.743
2017,1,25,9,46298.478
2017,1,25,10,45078.0591
2017,1,25,11,44154.3475
2017,1,25,12,43816.3829
2017,1,25,13,43889.9387
2017,1,25,14,43110.5488
2017,1,25,15,43398.4159
2017,1,25,16,42678.0484
2017,1,25,17,42683.7133
2017,1,25,18,42676.4563
2017,1,25,19,44510.0097
2017,1,25,20,44618.8654
2017,1,25,21,44965.3146
2017,1,25,22,46181.25
2017,1,25,23,46417.1835
2017,1,26,0,46961.054
2017,1,26,1,47115.4083
2017,1,26,2,47467.9484
2017,1,26,3,47540.4708
2017,1,26,4,48169.2525
2017,1,26,5,48016.8917
2017,1,26,6,48035.5314
2017,1,26,7,48534.2131
2017,1,26,8,46145.2062
2017,1,26,9,45265.6797
2017,1,26,10,44429.5734
2017,1,26,11,43489.2208
2017,1,26,12,42956.5532
2017,1,26,13,42307.233
2017,1,26,14,42118.36
2017,1,26,15,42440.444
2017,1,26,16,43016.5152
2017,1,26,17,43172.9454
2017,1,26,18,43081.8457
2017,1,26,19,43518.8288
2017,1,26,20,43912.0573
2017,1,26,21,44381.7299
2017,1,26,22,44413.898
2017,1,26,23,42385.3692
2017,1,27,0,42996.6606
2017,1,27,1,42962.0557
2017,1,27,2,42999.509
2017,1,27,3,42905.9993
2017,1,27,4,43351.3776
2017,1,27,5,43086.3257
2017,1,27,6,42932.7242
2017,1,27,7,42743.2836
2017,1,27,8,42215.216
2017,1,27,9,41779.0726
2017,1,27,10,41992.4879
2017,1,27,11,41596.7102
2017,1,27,12,41034.9877
2017,1,27,13,40822.0539
2017,1,27,14,40399.9674
2017,1,27,15,40304.1114
2017,1,27,16,40162.0373
2017,1,27,17,39903.8286
2017,1,27,18,39377.8909
2017,1,27,19,39455.2359
2017,1,27,20,39641.8553
2017,1,27,21,39904.7504
2017,1,27,22,40335.1232
2017,1,27,23,38819.9484
2017,1,28,0,39160.4917
2017,1,28,1,39357.3787
2017,1,28,2,39256.5031
2017,1,28,3,39375.7449
2017,1,28,4,39571.1807
2017,1,28,5,39389.851
2017,1,28,6,39890.4834
2017,1,28,7,40352.9456
2017,1,28,8,40566.9414
2017,1,28,9,40244.26
2017,1,28,10,39654.3199
2017,1,28,11,40701.3266
2017,1,28,12,40971.3636
2017,1,28,13,40051.2972
2017,1,28,14,39717.9698
2017,1,28,15,40347.9102
2017,1,28,16,39841.0559
2017,1,28,17,39733.8892
2017,1,28,18,39774.9728
2017,1,28,19,39559.9364
2017,1,28,20,39964.6629
2017,1,28,21,40661.8251
2017,1,28,22,40519.7486
2017,1,28,23,39135.6296
2017,1,29,0,39936.7089
2017,1,29,1,39713.8903
2017,1,29,2,39838.4925
2017,1,29,3,40121.4797
2017,1,29,4,40388.8146
2017,1,29,5,40487.0237
2017,1,29,6,40720.0573
2017,1,29,7,41037.6989
2017,1,29,8,41775.3137
2017,1,29,9,41084.1831
2017,1,29,10,41286.2569
2017,1,29,11,40957.7263
2017,1,29,12,40857.5863
2017,1,29,13,40307.4069
2017,1,29,14,40139.2428
2017,1,29,15,40363.7586
2017,1,29,16,40766.5966
2017,1,29,17,40340.2525
2017,1,29,18,40903.0123
2017,1,29,19,41145.6347
2017,1,29,20,41650.3297
2017,1,29,21,42492.472
2017,1,29,22,42880.4836
2017,1,29,23,42424.7459
2017,1,30,0,43182.9925
2017,1,30,1,43642.4513
2017,1,30,2,43753.6581
2017,1,30,3,43799.2381
2017,1,30,4,44186.9326
2017,1,30,5,44300.1968
2017,1,30,6,44587.4895
2017,1,30,7,45536.6247
2017,1,30,8,45345.4537
2017,1,30,9,44925.141
2017,1,30,10,45542.5049
2017,1,30,11,45207.9448
2017,1,30,12,44876.6773
2017,1,30,13,44003.6995
2017,1,30,14,43315.6897
2017,1,30,15,42348.8922
2017,1,30,16,42519.903
2017,1,30,17,42229.8251
2017,1,30,18,42803.3095
2017,1,30,19,43517.3908
2017,1,30,20,43944.2463
2017,1,30,21,45562.1367
2017,1,30,22,46489.1595
2017,1,30,23,46501.4056
2017,1,31,0,46589.2983
2017,1,31,1,46801.7668
2017,1,31,2,47001.0253
2017,1,31,3,47077.8881
2017,1,31,4,47603.6497
2017,1,31,5,47457.6449
2017,1,31,6,47670.5933
2017,1,31,7,47195.6824
2017,1,31,8,46233.2605
2017,1,31,9,44635.9697
2017,1,31,10,44319.5574
2017,1,31,11,43888.0256
2017,1,31,12,43651.9936
2017,1,31,13,44072.0746
2017,1,31,14,43507.0069
2017,1,31,15,42546.374
2017,1,31,16,42903.3256
2017,1,31,17,42546.5515
2017,1,31,18,42766.5153
2017,1,31,19,43534.9448
2017,1,31,20,45002.7022
2017,1,31,21,46894.9838
2017,1,31,22,48158.465
2017,1,31,23,47434.9343
2017,2,1,0,48000.363
2017,2,1,1,48106.5921
2017,2,1,2,48236.7101
2017,2,1,3,47776.4061
2017,2,1,4,48428.7619
2017,2,1,5,48527.7713
2017,2,1,6,48580.7181
2017,2,1,7,48725.2553
2017,2,1,8,47262.6186
2017,2,1,9,45939.5342
2017,2,1,10,44417.8222
2017,2,1,11,43542.6132
2017,2,1,12,43894.1092
2017,2,1,13,43490.259
2017,2,1,14,42764.4506
2017,2,1,15,41646.4065
2017,2,1,16,42912.7409
2017,2,1,17,42393.3738
2017,2,1,18,42954.3435
2017,2,1,19,44521.7288
2017,2,1,20,45411.0563
2017,2,1,21,46549.5254
2017,2,1,22,47555.3299
2017,2,1,23,47725.8685
2017,2,2,0,48204.2337
2017,2,2,1,48507.7096
2017,2,2,2,48674.1004
2017,2,2,3,48643.0351
2017,2,2,4,48685.3867
2017,2,2,5,48540.2806
2017,2,2,6,48923.5469
2017,2,2,7,49380.1922
2017,2,2,8,48319.5995
2017,2,2,9,47273.5513
2017,2,2,10,46306.3136
2017,2,2,11,44672.5354
2017,2,2,12,44610.4401
2017,2,2,13,44100.0853
2017,2,2,14,43641.7403
2017,2,2,15,42960.5217
2017,2,2,16,44009.9806
2017,2,2,17,44093.6849
2017,2,2,18,44033.2184
2017,2,2,19,44905.0268
2017,2,2,20,46090.4611
2017,2,2,21,47395.4839
2017,2,2,22,48138.7619
2017,2,2,23,47757.2408
2017,2,3,0,48474.1966
2017,2,3,1,48724.3146
2017,2,3,2,48916.7844
2017,2,3,3,49209.5134
2017,2,3,4,49446.0755
2017,2,3,5,49310.2807
2017,2,3,6,49507.3539
2017,2,3,7,50167.7158
2017,2,3,8,49284.8782
2017,2,3,9,47480.0684
2017,2,3,10,46203.2886
2017,2,3,11,45415.6548
2017,2,3,12,44999.1676
2017,2,3,13,44628.4239
2017,2,3,14,44239.1345
2017,2,3,15,43465.4716
2017,2,3,16,43770.519
2017,2,3,17,43448.7521
2017,2,3,18,44093.5647
2017,2,3,19,44996.3898
2017,2,3,20,45614.3899
2017,2,3,21,46261.7722
2017,2,3,22,47024.2414
2017,2,3,23,47097.0868
2017,2,4,0,47744.1889
2017,2,4,1,48136.8375
2017,2,4,2,48339.1947
2017,2,4,3,48614.0046
2017,2,4,4,49197.131
2017,2,4,5,49428.4056
2017,2,4,6,49339.4405
2017,2,4,7,49495.3262
2017,2,4,8,49743.4112
2017,2,4,9,49906.5917
2017,2,4,10,49640.5872
2017,2,4,11,49166.7938
2017,2,4,12,47700.4887
2017,2,4,13,47263.442
2017,2,4,14,46781.7307
2017,2,4,15,46073.9017
2017,2,4,16,45732.4387
2017,2,4,17,45076.6053
2017,2,4,18,44933.8736
2017,2,4,19,45152.2984
2017,2,4,20,45891.0557
2017,2,4,21,46962.7529
2017,2,4,22,47484.6087
2017,2,4,23,46759.2372
2017,2,5,0,47742.7332
2017,2,5,1,48003.7601
2017,2,5,2,48159.4686
2017,2,5,3,48379.1298
2017,2,5,4,48634.0916
2017,2,5,5,48969.9433
2017,2,5,6,48848.9506
2017,2,5,7,49100.7428
2017,2,5,8,49541.5105
2017,2,5,9,49279.3906
2017,2,5,10,48919.539
2017,2,5,11,48466.1182
2017,2,5,12,48364.0877
2017,2,5,13,47430.4251
2017,2,5,14,46803.1625
2017,2,5,15,46380.2632
2017,2,5,16,45828.5276
2017,2,5,17,45559.4933
2017,2,5,18,46483.3797
2017,2,5,19,46920.2333
2017,2,5,20,47588.0659
2017,2,5,21,48419.9006
2017,2,5,22,48952.5772
2017,2,5,23,48282.9007
2017,2,6,0,48629.398
2017,2,6,1,48932.5539
2017,2,6,2,48788.4294
2017,2,6,3,48980.6415
2017,2,6,4,49014.2843
2017,2,6,5,49102.8251
2017,2,6,6,49073.1706
2017,2,6,7,49968.0002
2017,2,6,8,47826.1826
2017,2,6,9,45569.4863
2017,2,6,10,44478.1293
2017,2,6,11,43703.6925
2017,2,6,12,44367.4062
2017,2,6,13,42978.4206
2017,2,6,14,42786.2347
2017,2,6,15,42113.3531
2017,2,6,16,42557.0591
2017,2,6,17,42641.6164
2017,2,6,18,43879.0732
2017,2,6,19,45253.7991
2017,2,6,20,46243.752
2017,2,6,21,47954.516
2017,2,6,22,49174.8372
2017,2,6,23,48239.3756
2017,2,7,0,48653.7356
2017,2,7,1,48865.5679
2017,2,7,2,49139.3862
2017,2,7,3,49114.9007
2017,2,7,4,49282.6926
2017,2,7,5,49228.3666
2017,2,7,6,49601.8875
2017,2,7,7,49074.8245
2017,2,7,8,47480.8035
2017,2,7,9,46358.1185
2017,2,7,10,45265.172
2017,2,7,11,44502.6777
2017,2,7,12,45166.6216
2017,2,7,13,43875.397
2017,2,7,14,42800.6994
2017,2,7,15,42264.0123
2017,2,7,16,43078.7825
2017,2,7,17,43176.0421
2017,2,7,18,43806.1807
2017,2,7,19,44630.1624
2017,2,7,20,46265.738
2017,2,7,21,47455.6984
2017,2,7,22,48409.6867
2017,2,7,23,48104.3625
2017,2,8,0,48593.69
2017,2,8,1,48642.2548
2017,2,8,2,48869.8081
2017,2,8,3,49136.979
2017,2,8,4,49323.7566
2017,2,8,5,49389.1322
2017,2,8,6,49820.6097
2017,2,8,7,49673.3601
2017,2,8,8,46975.9483
2017,2,8,9,46397.6075
2017,2,8,10,45792.8314
2017,2,8,11,44183.1046
2017,2,8,12,44567.1673
2017,2,8,13,44172.2499
2017,2,8,14,43808.441
2017,2,8,15,42774.6409
2017,2,8,16,43678.4974
2017,2,8,17,43899.3819
2017,2,8,18,44248.9671
2017,2,8,19,45332.0084
2017,2,8,20,45560.6691
2017,2,8,21,47112.0955
2017,2,8,22,48642.4786
2017,2,8,23,48023.8807
